ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
35094,Angelos Fetsis,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",NA
35698,"Edwin Harold ""Teddy"" Flack",M,22,NA,NA,Australia,AUS,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 800 metres,Gold
35698,"Edwin Harold ""Teddy"" Flack",M,22,NA,NA,Australia,AUS,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Gold
35698,"Edwin Harold ""Teddy"" Flack",M,22,NA,NA,Australia,AUS,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,NA
38123,Carl Galle,M,23,154,45,Germany,GER,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",NA
39487,Georgios Gennimatas,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,NA
39654,Evangelos Gerakakis,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,NA
40851,Charles Henry Stuart Gmelin,M,23,NA,NA,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,NA
40851,Charles Henry Stuart Gmelin,M,23,NA,NA,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 400 metres,Bronze
41160,Dimitrios P. Golemis,M,21,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 800 metres,Bronze
41160,Dimitrios P. Golemis,M,21,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",NA
42069,Grantley Thomas Smart Goulding,M,22,NA,NA,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,Silver
42914,Georgios Grigoriou,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,NA
43020,Alphonse Grisel,M,NA,NA,NA,France,FRA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,NA
43020,Alphonse Grisel,M,NA,NA,NA,France,FRA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 400 metres,NA
49185,Fritz Hofmann,M,24,167,56,Germany,GER,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,Silver
49185,Fritz Hofmann,M,24,167,56,Germany,GER,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 400 metres,NA
50399,"William Welles ""Bill"" Hoyt",M,20,NA,NA,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,NA
53542,Herbert Brotherson Jamison,M,20,173,69,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 400 metres,Silver
56624,Ilias Kafetzis,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,NA
57441,Konstantinos Karakatsanis,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",NA
58546,Gyula Kellner,M,24,NA,NA,Hungary,HUN,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,Bronze
59090,Alexandros Khalkokondylis,M,NA,171,64,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,NA
59427,Dimitrios Khristopoulos,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,NA
65894,Sokratis Lagoudakis,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,NA
66362,"Francis Adonijah ""Frank"" Lane",M,21,170,69,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,Bronze
67257,Ioannis Georgios Lavrentis,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,NA
68911,Albin Georges Lermusiaux,M,21,NA,NA,France,FRA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 800 metres,NA
68911,Albin Georges Lermusiaux,M,21,NA,NA,France,FRA,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Bronze
68911,Albin Georges Lermusiaux,M,21,NA,NA,France,FRA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,NA
71674,"Spyridon ""Spyros"" Louis",M,23,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,Gold
75409,George Herbert Marshall,M,NA,NA,NA,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,NA
75409,George Herbert Marshall,M,NA,NA,NA,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 800 metres,NA
76183,Stamatios Masouris,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,NA
91251,Eleftherios Papasymeon,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,NA
99656,"Franois tienne ""Frantz"" Reichel",M,25,NA,NA,France,FRA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 400 metres,NA
99656,"Franois tienne ""Frantz"" Reichel",M,25,NA,NA,France,FRA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,NA
107090,Eugen Stahl Schmidt,M,34,NA,NA,Denmark,DEN,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,NA
111499,Kristian Henrik Rudolf Sjberg,M,21,NA,NA,Sweden,SWE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,NA
111580,Athanasios Skaltsogiannis,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,NA
117571,Alajos (Aljoz) Szokoly (-Szokol),M,24,NA,NA,Hungary,HUN,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,Bronze
117571,Alajos (Aljoz) Szokoly (-Szokol),M,24,NA,NA,Hungary,HUN,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,NA
120917,"Dimitrios Mikhail ""Dimitri"" Tombrof",M,18,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 800 metres,NA
120917,"Dimitrios Mikhail ""Dimitri"" Tombrof",M,18,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",NA
121713,"Friedrich Adolf ""Fritz"" Traun",M,20,NA,NA,Germany,GER,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,NA
121713,"Friedrich Adolf ""Fritz"" Traun",M,20,NA,NA,Germany,GER,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 800 metres,NA
125390,Kharilaos Vasilakos,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,Silver
127625,Ioannis Vrettos,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,NA
7492,Emilio Banfi,M,NA,NA,NA,Italy,ITA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
10161,Charles Bennett,M,29,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Gold
10161,Charles Bennett,M,29,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 4,000 metres Steeplechase",Silver
10161,Charles Bennett,M,29,NA,NA,Amateur Athletic Association,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold
10981,Eugne Besse,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,NA
12445,Dixon H. Boardman,M,20,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
12445,Dixon H. Boardman,M,20,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,NA
14802,John Bray,M,24,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
14802,John Bray,M,24,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Bronze
15912,Yngvar Bryn,M,18,NA,NA,Norway,NOR,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres,NA
15912,Yngvar Bryn,M,18,NA,NA,Norway,NOR,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,NA
16732,Charles Lindsay Burroughs,M,23,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
16830,Edward Rogers Bushnell,M,23,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
18879,Andr Castanet,M,NA,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
19658,mile Julien Champion,M,20,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,Silver
19661,Albert Alphonse Champoudry,M,20,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
19973,Jean Chastani,M,24,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 2,500 metres Steeplechase",Bronze
19973,Jean Chastani,M,24,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 4,000 metres Steeplechase",NA
19973,Jean Chastani,M,24,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
21097,J. Eugne Choisel,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,NA
21097,J. Eugne Choisel,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,NA
21229,Christian August Christensen,M,23,NA,NA,Denmark,DEN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
21229,Christian August Christensen,M,23,NA,NA,Denmark,DEN,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",NA
21988,Georges Claude Clment,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,NA
22517,Umberto Colombo,M,NA,NA,NA,Italy,ITA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
22517,Umberto Colombo,M,NA,NA,NA,Italy,ITA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,NA
23740,John Francis Cregan,M,22,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,Silver
25512,Georges Clestin Daunis,M,21,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,NA
27384,Henry Lon mile Deloge,M,25,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
27384,Henry Lon mile Deloge,M,25,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Silver
27384,Henry Lon mile Deloge,M,25,NA,NA,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
29084,Kurt Wilhelm Doerry,M,25,179,73,Germany,GER,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
30120,Walter Edwin Drumheller,M,21,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,NA
30120,Walter Edwin Drumheller,M,21,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
30432,Arthur Francis Duffey,M,20,170,62,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
30496,"Francis Johann Wilhelm ""Franz"" Duhne",M,19,168,87,Germany,GER,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 2,500 metres Steeplechase",NA
30496,"Francis Johann Wilhelm ""Franz"" Duhne",M,19,168,87,Germany,GER,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 4,000 metres Steeplechase",NA
33776,Charles-Robert Faidide,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,NA
34204,Ernst Robert Efraim Fast,M,19,NA,NA,Sweden,SWE,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,Bronze
38280,Johannes Gandil,M,26,NA,NA,Denmark,DEN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
42414,"Alexander ""Alex"" Grant, Jr.",M,26,NA,NA,Canada,CAN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
42414,"Alexander ""Alex"" Grant, Jr.",M,26,NA,NA,Canada,CAN,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 4,000 metres Steeplechase",NA
42424,"Richard ""Dick"" Grant",M,21,NA,NA,Canada,CAN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,NA
45000,"David Connolly ""Dave"" Hall",M,25,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,Bronze
45000,"David Connolly ""Dave"" Hall",M,25,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",NA
46843,Howard Wood Hayes,M,22,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
49363,"William Joseph ""Bill"" Holland",M,26,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,NA
49363,"William Joseph ""Bill"" Holland",M,26,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres,NA
49363,"William Joseph ""Bill"" Holland",M,26,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,Silver
53970,Frank Washington Jarvis,M,21,167,58,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold
58985,Julius Keyl,M,22,170,59,Germany,GER,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
61291,Adolphe Christiano Klingelhoeffer,M,20,NA,NA,Brazil,BRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,NA
61291,Adolphe Christiano Klingelhoeffer,M,20,NA,NA,Brazil,BRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres,NA
61291,Adolphe Christiano Klingelhoeffer,M,20,NA,NA,Brazil,BRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,NA
62685,Pl Koppn,M,21,NA,NA,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,NA
62685,Pl Koppn,M,21,NA,NA,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
62685,Pl Koppn,M,21,NA,NA,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,NA
63659,"Alvin Christian ""Al"" Kraenzlein",M,23,183,75,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,Gold
63659,"Alvin Christian ""Al"" Kraenzlein",M,23,183,75,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,Gold
63659,"Alvin Christian ""Al"" Kraenzlein",M,23,183,75,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,Gold
67738,mile-Jean Lcuyer,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,NA
67917,Harry Glover Lee,M,23,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,NA
68463,Clark Moses Leiblee,M,22,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
69267,William Fraser Lewis,M,24,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,NA
69267,William Fraser Lewis,M,24,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,NA
69267,William Fraser Lewis,M,24,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres Hurdles,NA
71204,"Maxwell Warburn ""Maxey"" Long",M,21,182,75,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,Gold
71496,Harvey Hurd Lord,M,21,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,NA
71496,Harvey Hurd Lord,M,21,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
72887,Ronald John MacDonald,M,25,170,64,Canada,CAN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,NA
74766,Auguste Marchais,M,27,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,NA
77324,Thaddeus Brew McClain,M,23,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
77324,Thaddeus Brew McClain,M,23,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,NA
77324,Thaddeus Brew McClain,M,23,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 4,000 metres Steeplechase",NA
77795,John Frederick McLean,M,22,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,Silver
78017,Edward Anthony Mechling,M,22,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
80089,Edmund Joseph Minahan,M,17,183,86,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,NA
80089,Edmund Joseph Minahan,M,17,183,86,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
81262,"Frederick Graham ""Fred"" Moloney",M,17,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
81262,"Frederick Graham ""Fred"" Moloney",M,17,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,Bronze
81262,"Frederick Graham ""Fred"" Moloney",M,17,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,NA
81263,William Arthur Moloney,M,23,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,NA
85033,Karel Nedvd,M,NA,NA,NA,Bohemia,BOH,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres Hurdles,NA
85594,Arthur Lewis Newton,M,17,160,51,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,NA
85594,Arthur Lewis Newton,M,17,160,51,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 2,500 metres Steeplechase",NA
87196,Vclav Nov,M,NA,NA,NA,Bohemia,BOH,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
87572,Johan Ferdinand Nystrm,M,26,NA,NA,Sweden,SWE,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,NA
89626,George Washington F. Orton,M,27,169,65,Canada,CAN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres Hurdles,Bronze
89626,George Washington F. Orton,M,27,169,65,Canada,CAN,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 2,500 metres Steeplechase",Gold
89626,George Washington F. Orton,M,27,169,65,Canada,CAN,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 4,000 metres Steeplechase",NA
96083,Ernest Ion Pool,M,42,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,NA
97066,Norman Gilbert Pritchard (-Trevor),M,24,NA,NA,India,IND,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,NA
97066,Norman Gilbert Pritchard (-Trevor),M,24,NA,NA,India,IND,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
97066,Norman Gilbert Pritchard (-Trevor),M,24,NA,NA,India,IND,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres,Silver
97066,Norman Gilbert Pritchard (-Trevor),M,24,NA,NA,India,IND,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,NA
97066,Norman Gilbert Pritchard (-Trevor),M,24,NA,NA,India,IND,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,Silver
97477,Ondej Pukl,M,23,NA,NA,Bohemia,BOH,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
97477,Ondej Pukl,M,23,NA,NA,Bohemia,BOH,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",NA
98322,Adolphe Gaston Ragueneau,M,18,166,66,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
98818,Frederick Derek Randall,M,36,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,NA
99144,Gustav Adolf Friedrich Gottfried Rau,M,22,172,62,Germany,GER,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,NA
99898,William Procter Remington,M,21,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,NA
99898,William Procter Remington,M,21,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,NA
100882,"John Thomas ""Jack"" Rimmer",M,22,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",NA
100882,"John Thomas ""Jack"" Rimmer",M,22,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 4,000 metres Steeplechase",Gold
100882,"John Thomas ""Jack"" Rimmer",M,22,NA,NA,Amateur Athletic Association,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold
101468,Sidney John Robinson,M,23,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 2,500 metres Steeplechase",Silver
101468,Sidney John Robinson,M,23,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 4,000 metres Steeplechase",Bronze
101468,Sidney John Robinson,M,23,NA,NA,Amateur Athletic Association,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold
103047,"Stanley Rupert ""Stan"" Rowley",M,23,178,71,Australia,AUS,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,Bronze
103047,"Stanley Rupert ""Stan"" Rowley",M,23,178,71,Australia,AUS,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,Bronze
103047,"Stanley Rupert ""Stan"" Rowley",M,23,178,71,Australia,AUS,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres,Bronze
103047,"Stanley Rupert ""Stan"" Rowley",M,23,178,71,Amateur Athletic Association,AUS,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold
104841,Maurice Gustave Fernand Salomez,M,20,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
106337,"William George ""Billy"" Saward",M,31,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,NA
107584,Ern Schubert,M,18,NA,NA,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,NA
107584,Ern Schubert,M,18,NA,NA,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,NA
107584,Ern Schubert,M,18,NA,NA,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres,NA
107662,Ernst Ludwig Emanuel Schultz,M,20,NA,NA,Denmark,DEN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,Bronze
108043,Justus Moak Scrafford,M,22,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
